Ride,Date/Time,Wait Time
Star Mountain,2023-10-01 10:40:06,30
Star Mountain,2023-10-01 10:45:05,170
Star Mountain,2023-10-01 10:50:05,170
Star Mountain,2023-10-01 10:55:04,170
Star Mountain,2023-10-01 11:00:05,170
Star Mountain,2023-10-01 11:05:05,170
Star Mountain,2023-10-01 11:10:05,170
Star Mountain,2023-10-01 11:15:04,45
Star Mountain,2023-10-01 11:20:03,45
Star Mountain,2023-10-01 11:25:05,45
Star Mountain,2023-10-01 11:30:04,45
Star Mountain,2023-10-01 11:35:05,45
Star Mountain,2023-10-01 11:40:05,45
Star Mountain,2023-10-01 11:45:05,45
Star Mountain,2023-10-01 11:50:06,45
Star Mountain,2023-10-01 11:55:05,45
Star Mountain,2023-10-01 12:00:05,45
Star Mountain,2023-10-01 12:05:06,45
Star Mountain,2023-10-01 12:10:06,20
Star Mountain,2023-10-01 12:15:06,20
Star Mountain,2023-10-01 12:20:06,20
Star Mountain,2023-10-01 12:25:05,20
Star Mountain,2023-10-01 12:30:05,20
Star Mountain,2023-10-01 12:35:05,20
Star Mountain,2023-10-01 12:40:05,20
Star Mountain,2023-10-01 12:45:05,20
Star Mountain,2023-10-01 12:50:05,20
Star Mountain,2023-10-01 12:55:05,20
Star Mountain,2023-10-01 13:00:07,20
Star Mountain,2023-10-01 13:05:06,20
Star Mountain,2023-10-01 13:10:06,30
Star Mountain,2023-10-01 13:15:06,30
Star Mountain,2023-10-01 13:20:06,30
Star Mountain,2023-10-01 13:25:06,30
Star Mountain,2023-10-01 13:30:06,30
Star Mountain,2023-10-01 13:35:06,30
Star Mountain,2023-10-01 13:40:05,30
Star Mountain,2023-10-01 13:45:06,30
Star Mountain,2023-10-01 13:50:05,30
Star Mountain,2023-10-01 13:55:06,30
Star Mountain,2023-10-01 14:00:05,30
Star Mountain,2023-10-01 14:05:06,30
Star Mountain,2023-10-01 14:10:05,10
Star Mountain,2023-10-01 14:15:05,10
Star Mountain,2023-10-01 14:20:06,10
Star Mountain,2023-10-01 14:25:06,10
Star Mountain,2023-10-01 14:30:06,10
Star Mountain,2023-10-01 14:35:05,10
Star Mountain,2023-10-01 14:40:06,10
Star Mountain,2023-10-01 14:45:04,10
Star Mountain,2023-10-01 14:50:06,10
Star Mountain,2023-10-01 14:55:06,10
Star Mountain,2023-10-01 15:00:06,25
Star Mountain,2023-10-01 15:05:05,25
Star Mountain,2023-10-01 15:10:06,25
Star Mountain,2023-10-01 15:15:05,25
Star Mountain,2023-10-01 15:20:07,25
Star Mountain,2023-10-01 15:25:06,25
Star Mountain,2023-10-01 15:30:06,25
Star Mountain,2023-10-01 15:35:05,25
Star Mountain,2023-10-01 15:40:06,25
Star Mountain,2023-10-01 15:45:06,25
Star Mountain,2023-10-01 15:50:05,25
Star Mountain,2023-10-01 15:55:05,25
Star Mountain,2023-10-01 16:00:05,25
Star Mountain,2023-10-01 16:05:06,25
Star Mountain,2023-10-01 16:10:06,20
Star Mountain,2023-10-01 16:15:06,20
Star Mountain,2023-10-01 16:20:05,20
Star Mountain,2023-10-01 16:25:06,20
Star Mountain,2023-10-01 16:30:06,20
Star Mountain,2023-10-01 16:35:05,20
Star Mountain,2023-10-01 16:40:06,10
Star Mountain,2023-10-01 16:45:05,10
Star Mountain,2023-10-01 16:50:05,10
Star Mountain,2023-10-01 16:55:06,10
Star Mountain,2023-10-01 17:00:05,10
Star Mountain,2023-10-01 17:05:05,10
Star Mountain,2023-10-01 17:10:05,20
Star Mountain,2023-10-01 17:15:05,20
Star Mountain,2023-10-01 17:20:05,20
Star Mountain,2023-10-01 17:25:06,20
Star Mountain,2023-10-01 17:30:05,20
Star Mountain,2023-10-01 17:35:05,20
Star Mountain,2023-10-01 17:40:05,25
Star Mountain,2023-10-01 17:45:05,25
Star Mountain,2023-10-01 17:50:05,25
Star Mountain,2023-10-01 17:55:04,25
Star Mountain,2023-10-01 18:00:06,25
Star Mountain,2023-10-01 18:05:06,25
Star Mountain,2023-10-01 18:10:06,10
Star Mountain,2023-10-01 18:15:06,10
Star Mountain,2023-10-01 18:20:06,10
Star Mountain,2023-10-01 18:25:06,10
Star Mountain,2023-10-01 18:30:06,10
Star Mountain,2023-10-01 18:35:06,5
Star Mountain,2023-10-01 18:40:05,5
Star Mountain,2023-10-01 18:45:05,5
Star Mountain,2023-10-01 18:50:06,5
Star Mountain,2023-10-01 18:55:05,5
Star Mountain,2023-10-01 19:00:06,5
Star Mountain,2023-10-01 19:05:06,5
Star Mountain,2023-10-02 10:40:06,15
Star Mountain,2023-10-02 10:45:05,15
Star Mountain,2023-10-02 10:50:06,15
Star Mountain,2023-10-02 10:55:06,15
Star Mountain,2023-10-02 11:00:06,15
Star Mountain,2023-10-02 11:05:04,15
Star Mountain,2023-10-02 11:10:05,10
Star Mountain,2023-10-02 11:15:06,10
Star Mountain,2023-10-02 11:20:06,10
Star Mountain,2023-10-02 11:25:06,10
Star Mountain,2023-10-02 11:30:06,10
Star Mountain,2023-10-02 11:35:05,10
Star Mountain,2023-10-02 11:40:05,20
