Ride,Date/Time,Wait Time
Madagascar Crazy River Adventure!,2023-05-01 10:40:04,120
Madagascar Crazy River Adventure!,2023-05-01 10:45:04,120
Madagascar Crazy River Adventure!,2023-05-01 10:50:04,120
Madagascar Crazy River Adventure!,2023-05-01 10:55:04,120
Madagascar Crazy River Adventure!,2023-05-01 11:00:04,120
Madagascar Crazy River Adventure!,2023-05-01 11:05:05,120
Madagascar Crazy River Adventure!,2023-05-01 11:10:05,120
Madagascar Crazy River Adventure!,2023-05-01 11:15:04,120
Madagascar Crazy River Adventure!,2023-05-01 11:20:04,120
Madagascar Crazy River Adventure!,2023-05-01 11:25:04,120
Madagascar Crazy River Adventure!,2023-05-01 11:30:04,120
Madagascar Crazy River Adventure!,2023-05-01 11:35:04,150
Madagascar Crazy River Adventure!,2023-05-01 11:40:04,150
Madagascar Crazy River Adventure!,2023-05-01 11:45:04,150
Madagascar Crazy River Adventure!,2023-05-01 11:50:04,150
Madagascar Crazy River Adventure!,2023-05-01 11:55:03,150
Madagascar Crazy River Adventure!,2023-05-01 12:00:05,150
Madagascar Crazy River Adventure!,2023-05-01 12:05:04,150
Madagascar Crazy River Adventure!,2023-05-01 12:10:05,150
Madagascar Crazy River Adventure!,2023-05-01 12:15:04,150
Madagascar Crazy River Adventure!,2023-05-01 12:20:04,150
Madagascar Crazy River Adventure!,2023-05-01 12:25:04,150
Madagascar Crazy River Adventure!,2023-05-01 12:30:04,150
Madagascar Crazy River Adventure!,2023-05-01 12:35:04,150
Madagascar Crazy River Adventure!,2023-05-01 12:40:04,180
Madagascar Crazy River Adventure!,2023-05-01 12:45:04,180
Madagascar Crazy River Adventure!,2023-05-01 12:50:04,180
Madagascar Crazy River Adventure!,2023-05-01 12:55:03,180
Madagascar Crazy River Adventure!,2023-05-01 13:00:04,180
Madagascar Crazy River Adventure!,2023-05-01 13:05:04,170
Madagascar Crazy River Adventure!,2023-05-01 13:10:04,170
Madagascar Crazy River Adventure!,2023-05-01 13:15:04,170
Madagascar Crazy River Adventure!,2023-05-01 13:20:04,170
Madagascar Crazy River Adventure!,2023-05-01 13:25:05,170
Madagascar Crazy River Adventure!,2023-05-01 13:30:04,170
Madagascar Crazy River Adventure!,2023-05-01 13:35:04,130
Madagascar Crazy River Adventure!,2023-05-01 13:40:04,130
Madagascar Crazy River Adventure!,2023-05-01 13:45:04,130
Madagascar Crazy River Adventure!,2023-05-01 13:50:04,130
Madagascar Crazy River Adventure!,2023-05-01 13:55:04,130
Madagascar Crazy River Adventure!,2023-05-01 14:00:05,130
Madagascar Crazy River Adventure!,2023-05-01 14:05:04,130
Madagascar Crazy River Adventure!,2023-05-01 14:10:04,120
Madagascar Crazy River Adventure!,2023-05-01 14:15:04,120
Madagascar Crazy River Adventure!,2023-05-01 14:20:05,120
Madagascar Crazy River Adventure!,2023-05-01 14:25:04,120
Madagascar Crazy River Adventure!,2023-05-01 14:30:04,120
Madagascar Crazy River Adventure!,2023-05-01 14:35:04,120
Madagascar Crazy River Adventure!,2023-05-01 14:40:04,120
Madagascar Crazy River Adventure!,2023-05-01 14:45:04,120
Madagascar Crazy River Adventure!,2023-05-01 14:50:04,120
Madagascar Crazy River Adventure!,2023-05-01 14:55:04,120
Madagascar Crazy River Adventure!,2023-05-01 15:00:04,120
Madagascar Crazy River Adventure!,2023-05-01 15:05:04,150
Madagascar Crazy River Adventure!,2023-05-01 15:10:03,150
Madagascar Crazy River Adventure!,2023-05-01 15:15:05,150
Madagascar Crazy River Adventure!,2023-05-01 15:20:04,150
Madagascar Crazy River Adventure!,2023-05-01 15:25:03,150
Madagascar Crazy River Adventure!,2023-05-01 15:30:03,150
Madagascar Crazy River Adventure!,2023-05-01 15:35:04,150
Madagascar Crazy River Adventure!,2023-05-01 15:40:04,150
Madagascar Crazy River Adventure!,2023-05-01 15:45:04,150
Madagascar Crazy River Adventure!,2023-05-01 15:50:04,150
Madagascar Crazy River Adventure!,2023-05-01 15:55:04,150
Madagascar Crazy River Adventure!,2023-05-01 16:00:04,150
Madagascar Crazy River Adventure!,2023-05-01 16:05:04,150
Madagascar Crazy River Adventure!,2023-05-01 16:10:04,125
Madagascar Crazy River Adventure!,2023-05-01 16:15:05,125
Madagascar Crazy River Adventure!,2023-05-01 16:20:04,125
Madagascar Crazy River Adventure!,2023-05-01 16:25:04,125
Madagascar Crazy River Adventure!,2023-05-01 16:30:04,125
Madagascar Crazy River Adventure!,2023-05-01 16:35:04,120
Madagascar Crazy River Adventure!,2023-05-01 16:40:04,120
Madagascar Crazy River Adventure!,2023-05-01 16:45:04,120
Madagascar Crazy River Adventure!,2023-05-01 16:50:04,120
Madagascar Crazy River Adventure!,2023-05-01 16:55:04,120
Madagascar Crazy River Adventure!,2023-05-01 17:00:04,120
Madagascar Crazy River Adventure!,2023-05-01 17:05:04,120
Madagascar Crazy River Adventure!,2023-05-01 17:10:03,120
Madagascar Crazy River Adventure!,2023-05-01 17:15:04,120
Madagascar Crazy River Adventure!,2023-05-01 17:20:04,120
Madagascar Crazy River Adventure!,2023-05-01 17:25:04,120
Madagascar Crazy River Adventure!,2023-05-01 17:30:04,120
Madagascar Crazy River Adventure!,2023-05-01 17:35:04,120
Madagascar Crazy River Adventure!,2023-05-01 17:40:04,120
Madagascar Crazy River Adventure!,2023-05-01 17:45:04,120
Madagascar Crazy River Adventure!,2023-05-01 17:50:04,120
Madagascar Crazy River Adventure!,2023-05-01 17:55:05,120
Madagascar Crazy River Adventure!,2023-05-01 18:00:04,120
Madagascar Crazy River Adventure!,2023-05-01 18:05:04,120
Madagascar Crazy River Adventure!,2023-05-17 16:15:04,5
Madagascar Crazy River Adventure!,2023-05-17 16:20:05,5
